DA	daa0
DINGILIAN	ding0 ci1 liian2
DINGILY	ding0 ci1 lii2
DINGINESS	ding0 ci1 nees1
DINGING	ding0 king2
DINGLE	ding0 kql2
DINGLEDINE	ding0 kql0 daaj0
DINGLEMAN	ding0 kql0 mxxn0
DINGLER	ding0 klqq2
DINGLES	ding0 kql2
DINGLETON	ding0 kql0 tan2
DINGLEY	ding0 lee2
DINGLY	ding0 lii2
DINGMAN	ding0 mxxn0
DINGMANN	ding0 maan0
DINGMANS	ding0 mxxn0
DINGO	ding0 khoo2
DINGOES	ding0 kh@@s3
DINGOS	ding0 kh@@s3
DINGS	ding2
DINGTON	ding0 tan2
DINGUSES	ding0 kiw0 ses1
DINGWALL	ding0 khwql2
DINGWALLS	ding0 khwql2
DINGY	ding0 cii2
DINGY	ding0 kii2
DINING	daaj0 ning2
DINKEY	din0 kii2
DINKIER	din0 ki1 qq2
DINKIES	din0 kis2
DINKIEST	din0 ki1 es1
DINKIN	din0 kin2
DINKING	din0 king2
DINKINS	din0 kin2
DINKINSES	din0 kin0 ses1
DINKISH	din0 kich3
DINKLE	din0 kql2
DINKLEMAN	din0 kql0 mxxn0
DINKLY	din0 kql2 lii2
DINKY	din0 kii2
DINKYS	din0 kii2
DINNED	din0 nit1
DINNER	din0 nqq2
DINNERS	din0 nees1
DINNERTIME	din0 nqq0 thaam0
DINNERTIMES	din0 nqq0 thaam0
DINNERWARE	din0 nqq0 wxx0
DINNIES	din0 nees1
DINNING	din0 ning2
DINNINGTON	din0 ning2 tan2
DINOSAUR	daaj0 noo0 s@@0
DINOSAURES	daaj0 noo0 s@@s2
DINOSAURI	daaj0 noo0 s@@0 raaj0
DINOSAURIAN	daaj0 noo0 s@@0 riian2
DINOSAURS	daaj0 noo0 s@@0
DINOSAURUS	daaj0 noo0 s@@0 rqqs2
DINOTHERIA	daaj0 noo0 thiia0 riia0
DINOTHERIAN	daaj0 noo0 thiia0 riian2
DINOTHERIUM	daaj0 noo0 thiia0 riiam2
DINS	din2
DINSDALE	din0 sa1 deel0
DINSER	din0 sqq2
DINSEY	din0 sii2
DINSMORE	din0 sa1 m@@0
DINSMORES	din0 sa1 m@@0 res1
DINT	din3
DINTED	din0 thet1
DINTEN	din0 then2
DINTER	din0 thqq2
DINTING	din0 ting2
DINTLESS	din0 thql0 les1
DINTS	din3
DINTZER	din3 sqq2
DIOCESAN	daaj0 oo0 si1 sqn2
DIOCESANS	daaj0 oo0 si1 sqn2
DIOCESE	daaj0 oo0 ses1
DIOCESES	daaj0 oo0 sis3 ses1
DIOCESESES	daaj0 oo0 sis3 si3 ses1
DIONYM	daaj0 oo0 nim0
DIONYSIAN	daaj0 oo0 ni1 siian2
DIONYSIANS	daaj0 oo0 ni1 siian2
DIOPTER	daaj0 @p3 thqq2
DIOPTERS	daaj0 @p3 tqq2
DIOPTOMETER	daaj0 @p3 th@@0 mee0 tqq2
DIOPTRE	daaj0 @p3 thqq2
DIOPTRES	daaj0 @p3 tqq2
DIOPTRIC	daaj0 @p3 thrik1
DIOPTRICAL	daaj0 @p3 thri3 khql2
DIOPTRICALLY	daaj0 @p3 thri3 khql2 lii2
DIOPTRICS	daaj0 @p3 thrik1
DIORAMA	daaj0 oo0 raa0 maa2
DIORAMAS	daaj0 oo0 raa0 maas2
DIORAMIC	daaj0 oo0 raa0 mik1
DIOXIDE	daaj0 @k3 saj3
DIOXIDES	daaj0 @k3 saj3
DIOXIN	daaj0 @k3 sin2
DIOXINS	daaj0 @k3 sin2
DIP	dip3
DIPALMA	dip3 pheel0 maa2
DIPHONE	dip3 foon0
DIPHONES	dip3 foon0 nees1
DIPHTERIA	dip3 thiia0 riia0
DIPHTHERIA	dip3 thiia0 riia0
DIPHTHERIAN	dip3 thiia0 riian2
DIPHTHONG	dip3 th@@ng0
DIPHTHONGAL	dip3 th@@ng0 khql2
DIPHTHONGALIZE	dip3 th@@ng0 khql0 laj3
DIPHTHONGALLY	dip3 th@@ng0 khql2 lii2
DIPHTHONGATION	dip3 th@@ng0 khee0 chan0
DIPHTHONGISATION	dip3 th@@ng0 kaaj3 see0 chan0
DIPHTHONGIZATION	dip3 th@@ng0 kaaj3 see0 chan0
DIPHTHONGIZE	dip3 th@@ng0 kaaj3
DIPHTHONGIZED	dip3 th@@ng0 kaaj3
DIPHTHONGIZES	dip3 th@@ng0 kaaj0 ses1
DIPHTHONGS	dip3 th@@ng0
DIPINTO	dip3 phin0 too2
DIPLEX	dii0 phlek1
DIPLING	dii0 pling2
DIPLODOCI	dii0 phl@@0 doo0 kaaj0
DIPLODOCUS	dii0 phl@@0 doo0 kqq2
DIPLODOCUSES	dii0 phl@@0 doo0 khqs3 ses1
DIPLOMA	dii0 phl@@0 maa2
DIPLOMACIES	dii0 phl@@0 mqq0 ses1
DIPLOMACY	dii0 phl@@0 mqq0 sii2
DIPLOMAND	dii0 phl@@0 mxxn2
DIPLOMAS	dii0 phl@@0 mqs2
DIPLOMAT	dii0 phl@@0 mxt1
DIPLOMATER	dii0 phl@@0 mxt1 thqq2
DIPLOMATES	dii0 phl@@0 mxt1 thes1
DIPLOMATIC	dii0 phl@@0 mxt3 thik1
DIPLOMATICAL	dii0 phl@@0 mxt3 thi1 khql2
DIPLOMATICALLY	dii0 phl@@0 mxt3 thi1 kh@l2 lii2
DIPLOMATICO	dii0 phl@@0 mxt3 thi1 khoo2
DIPLOMATICOS	dii0 phl@@0 mxt3 thi1 kh@@s3
DIPLOMATICS	dii0 phl@@0 mxt3 thik1
DIPLOMATICUS	dii0 phl@@0 mxt3 thik3 khqs2
DIPLOMATIQUE	dii0 phl@@0 mxt3 thiik3
DIPLOMATIS	dii0 phl@@0 mql0 tii2
DIPLOMATISE	dii0 phl@@0 mql0 tii2
DIPLOMATISES	dii0 phl@@0 mql0 this3 ses1
DIPLOMATISM	dii0 phl@@0 mql0 this3 svm2
DIPLOMATIST	dii0 phl@@0 mql0 this2
DIPLOMATISTS	dii0 phl@@0 mql0 this2
DIPLOMATIZE	dii0 phl@@0 mql0 thaj3
DIPLOMATIZES	dii0 phl@@0 mql0 thaaj0 ses1
DIPLOMATS	dii0 phl@@0 mxt1
DIPOLAR	dii0 phoo0 laa2
DIPOLARIZATION	dii0 phoo0 loo0 raj3 see0 chan0
DIPOLARIZE	dii0 phoo0 loo0 raj3
DIPOLE	dii0 phool0
DIPOLES	dii0 phool0 les1
DIPPED	dip3 phet2
DIPPER	dip3 phqq2
DIPPIER	dip3 phi1 qq2
DIPPIEST	dip3 phi1 es1
DIPPIN	dip3 phin0
DIPPING	dip3 phing2
DIPPINGS	dip3 phing2
DIPS	dip3
DIPSOMANIA	dip3 soo0 mee0 niia0
DIPSOMANIAC	dip3 soo0 mee0 ni1 xk1
DIPSOMANIACS	dip3 soo0 mee0 ni1 xk1
DIPSTICK	dip3 tik3
DIPSTICKS	dip3 tik3
DIPTER	dip3 thqq2
DIPTERA	dip3 thql0 raa2
DIPTERAD	dip3 thql0 reet1
DIPTERAL	dip3 thql0 rql2
DIPTERAN	dip3 thql0 rqn2
DIPTEROLOGIST	dip3 thqq0 oo0 loo0 cis3
DIPTEROLOGY	dip3 thqq0 oo0 loo0 cii2
DIPTEROUS	dip3 thql0 rqqs2
DIPTERUS	dip3 thql0 rqqs2
DIPTHONG	dip3 th@@ng0
DIPTHONGS	dip3 th@@ng0
DIPTON	dip3 than2
DIPTYCH	dip3 tich1
DIPTYCHS	dip3 tich1
DIRE	daaj0 rqq2
DIRECT	daaj0 rek3
DIRECTA	daaj0 rek3 taa2
DIRECTABLE	daaj0 rek3 thqq0 bql2
DIRECTED	daaj0 rek3 thet1
DIRECTEDNESS	daaj0 rek3 thet1 nees1
DIRECTEE	daaj0 rek3 tii2
DIRECTER	daaj0 rek3 thqq2
DIRECTERS	daaj0 rek3 tqq2
DIRECTEST	daaj0 rek3 thes1
DIRECTING	daaj0 rek3 ting2
DIRECTION	daaj0 rek3 chan0
DIRECTIONAL	daaj0 rek3 chan0 nxl0
DIRECTIONALITY	daaj0 rek3 chan0 nal0 li3 tii2
DIRECTIONALLY	daaj0 rek3 chan0 nxl0 lii2
DIRECTIONALS	daaj0 rek3 chqq0 nql2
DIRECTIONARY	daaj0 rek3 chan0 nqs1 rii2
DIRECTIONLESS	daaj0 rek3 chan0 les1
DIRECTIONLESSNESS	daaj0 rek3 chan0 les1 nees1
DIRECTIONS	daaj0 rek3 chan0
DIRECTITUDE	daaj0 rek3 ti1 cuut1
DIRECTIVE	daaj0 rek3 thiif1
DIRECTIVELY	daaj0 rek3 thiif1 lii2
DIRECTIVENESS	daaj0 rek3 thiif1 nees1
DIRECTIVES	daaj0 rek3 thiif1
DIRECTIVITIES	daaj0 rek3 thi1 wi3 tii2
DIRECTIVITY	daaj0 rek3 thi1 wi3 tii2
DIRECTLY	daaj0 rek3 thi1 lii2
DIRECTNESS	daaj0 rek3 nees1
DIRECTO	daaj0 rek3 t@@2
DIRECTON	daaj0 rek3 th@@n2
DIRECTONS	daaj0 rek3 th@@n2
DIRECTOR	daaj0 rek3 thqq2
DIRECTORAL	daaj0 rek3 thql0 rql2
DIRECTORALLY	daaj0 rek3 thql0 rql2 lii2
DIRECTORAND	daaj0 rek3 thql0 rxxn2
DIRECTORATE	daaj0 rek3 thql0 reet1
DIRECTORATES	daaj0 rek3 thql0 reet1
DIRECTORIAL	daaj0 rek3 thql0 ri1 al0
DIRECTORIALLY	daaj0 rek3 thql0 th@@0 riial0 lii2
DIRECTORIES	daaj0 rek3 thql0 ris1
DIRECTORS	daaj0 rek3 tqq2
DIRECTORSHIP	daaj0 rek3 thql0 chip3
DIRECTORSHIPS	daaj0 rek3 thql0 chip3
DIRECTORY	daaj0 rek3 thql0 rii2
DIRECTRESPONSE	daaj0 rek3 thri3 p@@n3
DIRECTRESS	daaj0 rek3 thres1
DIRECTRICES	daaj0 rek3 thraj3 ses1
DIRECTRIX	daaj0 rek3 thrik1
DIRECTRONICS	daaj0 rek3 thr@@n0 nik1
DIRECTS	daaj0 rek3
DIRECTUS	daaj0 rek3 tqs2
DIREFUL	daaj0 ql0 fuul0
DIREFULLY	daaj0 ql0 fql2 lii2
DIREFULNESS	daaj0 ql0 fql0 nees1
DIRENESS	daaj0 nees1
DIRER	daaj0 rqq2
DIRESPECT	daaj0 ql0 sa1 phek1
DIREST	daaj0 rees3
DIRGE	dqqc3
DIRGED	dqqc3 cit1
DIRGES	dqqc3 cees1
DIRICK	daaj0 rik3
DIRICKSON	daaj0 rik3 san2
DIRIGIBILITY	daaj0 rik3 ci1 bi1 li3 tii2
DIRIGIBLE	daaj0 rik3 ci1 bql2
DIRIGIBLES	daaj0 rik3 ci1 bql2
DIRK	dqqk3
DIRKED	dqqk3 kit1
DIRKES	dqqk3 kes1
DIRKIN	dqq0 kin2
DIRKING	dqq0 king2
DIRKS	dqqk3
DIRKSEN	dqqk3 sen2
DIRKSON	dqqk3 san2
DIRNDL	dqqn0 dql2
DIRNDLE	dqqn0 dql2
DIRNDLES	dqqn0 dql2
DIRNDLS	dqqn0 dql2
DIRT	dqqt3
DIRTIED	dqqt3 thaaj0 et1
DIRTIER	dqqt3 thaaj0 qq2
DIRTIES	dqqt3 thaaj0 es1
DIRTIEST	dqqt3 thaaj0 es1
DIRTILY	dqqt3 thaaj0 lii2
DIRTING	dqqt3 ting2
DIRTS	dqqt3
DIRTY	dqqt3 tii2
DIRTYING	dqqt3 thi1 ing2
DIRTYSOMETHING	dqqt3 thi1 sam0 ting2
DISABILIES	dis3 bi1 lis3
DISABILITIES	dis3 bi1 li3 tii2
DISABILITY	dis3 bi1 li3 tii2
DISABLE	dis3 bql2
DISABLED	dis3 bql0 let1
DISABLEMENT	dis3 bql0 men3
DISABLEMENTS	dis3 bql0 men3
DISABLER	dis3 blqq2
DISABLERS	dis3 blqs2
DISABLES	dis3 bql2
DISABLING	dis3 bling2
DISABLINGLY	dis3 bling0 lii2
DISABUSE	dis3 biw3
DISABUSED	dis3 biw3 sit1
DISABUSES	dis3 biw3 ses1
DISABUSING	dis3 biw3 sing2
DISACCUSTOM	dis3 sqk3 kas3 th@m2
DISACCUSTOMED	dis3 sqk3 kas3 th@m2 mit1
DISADVANCE	dis3 qt1 waan3
DISADVANTAGE	dis3 qt1 waan0 theec1
DISADVANTAGED	dis3 qt1 waan0 theec1 cit2
DISADVANTAGEOUS	dis3 qt1 waan0 theec1 ces1
DISADVANTAGEOUSLY	dis3 qt1 waan0 theec1 ces2 sa1 lii2
DISADVANTAGEOUSNESS	dis3 qt1 waan0 theec1 ces2 nees1
DISADVANTAGING	dis3 qt1 waan0 theec1 cing2
DISADVANTED	dis3 qt1 waan0 thet1
DISADVENTURE	dis3 qt1 ween3 chqq2
DISADVENTUROUS	dis3 qt1 ween3 chql0 rqqs2
DISADVISE	dis3 qt1 waaj3
DISAFFECT	dis3 xxf3 fek1
DISAFFECTATION	dis3 xxf3 fek1 thqq0 chan0
DISAFFECTED	dis3 xxf3 fek1 thet1
DISAFFECTEDLY	dis3 xxf3 fek1 thet1 lii2
DISAFFECTEDNESS	dis3 xxf3 fek1 thet1 nees1
DISAFFECTEDS	dis3 xxf3 fek1 thet1
DISAFFECTING	dis3 xxf3 fek1 ting2
DISAFFECTION	dis3 xxf3 fek1 chan0
DISAFFECTION	dis3 xxf3 fek1 chan0
DISAFFECTIONATE	dis3 xxf3 fek1 chan0 neet1
DISAFFECTIONS	dis3 xxf3 fek1 chan0
DISAFFECTIONS	dis3 xxf3 fek1 chan0
DISAFFECTIVES	dis3 xxf3 fek1 tiif1
DISAFFECTS	dis3 xxf3 fek1
DISAFFOREST	dis3 xxf3 f@@0 rees3
DISAFFORESTATION	dis3 xxf3 f@@0 rees3 tee0 chan0
DISAFFORESTED	dis3 xxf3 f@@0 rees3 thet1
DISAFFORESTING	dis3 xxf3 f@@0 rees3 ting2
DISAFFORESTS	dis3 xxf3 f@@0 rees3
DISAGREE	dis3 ql0 krii0
DISAGREEABLE	dis3 ql0 krii0 ee0 bql2
DISAGREEABLENESS	dis3 ql0 krii0 ee0 bql2 nees1
DISAGREEABLY	dis3 ql0 krii0 ee0 blii2
DISAGREED	dis3 ql0 krii0 it1
DISAGREEING	dis3 ql0 krii0 ing2
DISAGREEMENT	dis3 ql0 krii0 men3
DISAGREEMENTS	dis3 ql0 krii0 men3
DISAGREER	dis3 ql0 kri1 qq2
DISAGREES	dis3 ql0 krii2
DISALLOW	dis3 ql0 laaw0
DISALLOWABLE	dis3 ql0 laaw0 qq0 bql2
DISALLOWABLENESS	dis3 ql0 laaw0 qq0 bql2 nees1
DISALLOWANCE	dis3 ql0 laaw0 ween3
DISALLOWANCES	dis3 ql0 laaw0 ween3 ses1
DISALLOWED	dis3 ql0 laaw0 wit1
DISALLOWING	dis3 ql0 laaw0 wing2
DISALLOWS	dis3 ql0 laaw0
DISAPPEAR	dis3 xp3 phiia0
DISAPPEARANCE	dis3 xp3 phiia0 reen3
DISAPPEARANCES	dis3 xp3 phiia0 reen3 ses1
DISAPPEARD	dis3 xp3 phqqt1
DISAPPEARED	dis3 xp3 phiia0 rit1
DISAPPEAREDS	dis3 xp3 phiia0 rit1
DISAPPEARER	dis3 xp3 phiia0 qq2
DISAPPEARING	dis3 xp3 phiia0 ring2
DISAPPEARS	dis3 xp3 phiias2
DISAPPLIED	dis3 xp3 phlaaj0 it1
DISAPPLIES	dis3 xp3 phlaaj0
DISAPPLY	dis3 xp3 phlaaj0
DISAPPLYING	dis3 xp3 phlaaj0 ing2
DISAPPOINT	dis3 xp3 ph@@j3
DISAPPOINTD	dis3 xp3 ph@@j3 thet1
DISAPPOINTED	dis3 xp3 ph@@j3 thet1
DISAPPOINTEDLY	dis3 xp3 ph@@j3 thet1 lii2
DISAPPOINTER	dis3 xp3 ph@@j3 tqq2
DISAPPOINTING	dis3 xp3 ph@@j3 thing2
DISAPPOINTINGLY	dis3 xp3 ph@@j3 thing2 lii2
DISAPPOINTMENT	dis3 xp3 ph@@j3 men3
DISAPPOINTMENTS	dis3 xp3 ph@@j3 men3
DISAPPOINTS	dis3 xp3 ph@@j3
DISAPPRECIATION	dis3 xp3 phrql0 si1 ee0 chan0
DISAPPROBATION	dis3 xp3 phrql0 bee0 chan0
DISAPPROBATIONS	dis3 xp3 phrql0 bee0 chan0
DISAPPROBATIVE	dis3 xp3 phrql0 bee0 thiif1
DISAPPROBATORY	dis3 xp3 phrql0 bee0 thql0 rii2
DISAPPROPRIATION	dis3 xp3 phrql0 bee0 chan0
DISAPPROVABLE	dis3 xp3 phrql0 wee0 bql2
DISAPPROVAL	dis3 xp3 phrql0 wql2
DISAPPROVALS	dis3 xp3 phrql0 wql2
DISAPPROVE	dis3 xp3 phruuf3 
DISAPPROVED	dis3 xp3 phruuf3 wit1
DISAPPROVER	dis3 xp3 phruuf3 wqq2
DISAPPROVERS	dis3 xp3 phruuf3 wqs2
DISAPPROVES	dis3 xp3 phruuf3 
DISAPPROVING	dis3 xp3 phruuf3 wing2
DISAPPROVINGLY	dis3 xp3 phruuf3 wing2 lii2
DISARM	dis3 saam0
DISARMAMENT	dis3 saa0 mqq0 men3
DISARMANENT	dis3 saa0 mqq0 nen3
DISARMATURE	dis3 saa0 mqq0 cee2
DISARMD	dis3 saam0
DISARMED	dis3 saa0 met1
DISARMER	dis3 saa0 mqq2
DISARMERS	dis3 saa0 mqs2
DISARMING	dis3 saa0 ming2
DISARMINGLY	dis3 saa0 ming2 lii2
DISARMS	dis3 saam0
DISARRANGE	dis3 saa0 reen3
DISARRANGED	dis3 saa0 reen3 cit2
DISARRANGEMENT	dis3 saa0 reen3 men3
DISARRANGEMENTS	dis3 saa0 reen3 men3
DISARRANGES	dis3 saa0 reen3 cis1
DISARRANGING	dis3 saa0 reen3 cing2
DISARRAY	dis3 saa0 ree2
DISARRAYED	dis3 saa0 ree0 it1
DISARRAYING	dis3 saa0 ree0 ing2
DISARRAYS	dis3 saa0 rees1
DISARTICULATE	dis3 saa0 thi1 khiw0 leet1
DISARTICULATED	dis3 saa0 thi1 khiw0 leet3 thet1
DISARTICULATES	dis3 saa0 thi1 khiw0 leet1 thes1
DISARTICULATING	dis3 saa0 thi1 khiw0 leet3 ting2
DISARTICULATION	dis3 saa0 thi1 khiw0 lee0 chan0
DISARTICULATOR	dis3 saa0 thi1 khiw0 lee0 tqq2
DISARTICULATUS	dis3 saa0 thi1 khiw0 lee0 tqq2
DISASSOCIABLE	dis3 sqs1 soo0 si1 ee0 bql2
DISASSOCIATE	dis3 sqs1 soo0 si1 eet1
DISASSOCIATED	dis3 sqs1 soo0 si1 eet3 thet1
DISASSOCIATEDNESS	dis3 sqs1 soo0 si1 eet3 thet1 nees1
DISASSOCIATES	dis3 sqs1 soo0 si1 ee0 tes1
DISASSOCIATING	dis3 sqs1 soo0 si1 eet3 ting2
DISASSOCIATION	dis3 sqs1 soo0 si1 ee0 chan0
DISASSOCIATIVE	dis3 sqs1 soo0 si1 ee0 thiif1
DISASTER	dii0 sxxs3 thqq2
DISASTEROUS	dii0 sxxs3 thql0 rqqs2
DISASTEROUSLY	dii0 sxxs3 thql0 ras3 lii2
DISASTERS	dii0 sxxs3 tqq2
DISASTERVILLE	dii0 sxxs3 thql0 wil0
DISASTROUS	dii0 sxxs3 thras3
DISASTROUSLY	dii0 sxxs3 thras2 lii2
DISASTROUSNESS	dii0 sxxs3 thras2 nees1
DISAVOW	dis3 ql0 waaw0
DISAVOWAL	dis3 ql0 waaw0 wql2
DISAVOWALS	dis3 ql0 waaw0 wql2
DISAVOWED	dis3 ql0 waaw0 wit1
DISAVOWEDLY	dis3 ql0 waaw0 wit1 lii2
DISAVOWING	dis3 ql0 waaw0 wing2
DISAVOWS	dis3 ql0 waaw0
DISBAND	dis3 bxxn0
DISBANDED	dis3 bxxn0 det1
DISBANDING	dis3 bxxn0 ding2
DISBANDMENT	dis3 bxxn0 men3
DISBANDMENTS	dis3 bxxn0 men3
DISBANDS	dis3 bxxn0
DISBAR	dis3 baa2
DISBARK	dis3 baak3
DISBARRED	dis3 baa0 reet1
DISBARREDR	dis3 baa0 reet1 dqq2
DISBARRING	dis3 baa0 ring2
DISBARS	dis3 baas3
DISBELIEF	dis3 bil0 liif3 
DISBELIEFS	dis3 bil0 liif3 
DISBELIEVE	dis3 bil0 liif3 
DISBELIEVED	dis3 bil0 liif3 wit1
DISBELIEVER	dis3 bil0 liif3 wqq2
DISBELIEVERS	dis3 bil0 liif3 wqs2
DISBELIEVES	dis3 bil0 liif3 wes1
DISBELIEVING	dis3 bil0 liif3 wing2
DISBELIEVINGLY	dis3 bil0 liif3 wing2 lii2
DISBUD	dis3 bat3
DISBUDDED	dis3 bat3 det1
DISBUDDING	dis3 bat3 ding2
DISBUDS	dis3 bat3
DISBURDEN	dis3 bqq0 dqn2
DISBURDENED	dis3 bqq0 dqn2 nit1
DISBURDENING	dis3 bqq0 dqn2 ning2
DISBURDENS	dis3 bqq0 dqn2
DISBURSE	dis3 bqqs3
DISBURSED	dis3 bqqs3 sit1
DISBURSEMENT	dis3 bqqs3 men3
DISBURSEMENTS	dis3 bqqs3 men3
DISBURSER	dis3 bqqs3 sqq2
DISBURSES	dis3 bqqs3 ses1
DISBURSING	dis3 bqqs3 sing2
DISC	dis3
DISCAL	dis3 khql2
DISCANONISATION	dis3 khxx0 nql0 naj3 see0 chan0
DISCANONIZATION	dis3 khxx0 nql0 naj3 see0 chan0
DISCANONIZE	dis3 khxx0 nql0 naj3
DISCANONIZES	dis3 khxx0 nql0 naaj0 ses1
DISCANTER	dis3 khxxn0 thqq2
DISCANTS	dis3 khxxn0
DISCANTUS	dis3 khxxn0 thuus3
DISCARD	dis3 kaat1
DISCARDED	dis3 kaat1 det1
DISCARDER	dis3 kaat1 dqq2
DISCARDERS	dis3 kaat1 dqs2
DISCARDING	dis3 kaat1 ding2
DISCARDS	dis3 kaat1
DISCED	dis3 sit1
DISCEDENS	dis3 sit1 dqn2
DISCERN	dis3 sqqn0
DISCERNABLE	dis3 sqqn0 nee0 bql2
DISCERNABLY	dis3 sqqn0 nee0 blii2
DISCERND	dis3 sqen3
DISCERNE	dis3 sqqn0
DISCERNED	dis3 sqqn0 nit1
DISCERNER	dis3 sqqn0 nqq2
DISCERNERS	dis3 sqqn0 nees1
DISCERNES	dis3 sqqn0 nees1
DISCERNIBLE	dis3 sqqn0 ni1 bql2
DISCERNIBLENESS	dis3 sqqn0 ni1 bql2 nees1
DISCERNIBLY	dis3 sqqn0 ni1 blii2
DISCERNING	dis3 sqqn0 ning2
DISCERNINGLY	dis3 sqqn0 ning2 lii2
DISCERNMENT	dis3 sqqn0 men3
DISCERNS	dis3 sqqn0
DISCHARGE	dis3 chaac3
DISCHARGEABILITY	dis3 chaac3 cql0 bi1 li3 tii2
DISCHARGEABLE	dis3 chaac3 cql0 bql2
DISCHARGED	dis3 chaac3 cit1
DISCHARGEES	dis3 chaac3 cii2
DISCHARGER	dis3 chaac3 cqq2
DISCHARGERS	dis3 chaac3 cqs2
DISCHARGES	dis3 chaac3 cis1
DISCHARGING	dis3 chaac3 cing2
DISCHER	dis3 chqq2
DISCHINGER	dis3 ching0 cqq2
DISCI	dis3 kaaj0
DISCING	dis3 king2
DISCIPLE	dii0 saaj0 phql2
DISCIPLED	dii0 saaj0 phql0 lit1
DISCIPLER	dii0 saaj0 phlqq2
DISCIPLES	dii0 saaj0 phql2
DISCIPLESHIP	dii0 saaj0 phql0 chip3
DISCIPLIN	dis3 si1 plin2
DISCIPLINABILITY	dis3 si1 plin0 nql0 bi1 li3 tii2
DISCIPLINABLE	dis3 si1 plin0 nee0 bql2
DISCIPLINABLENESS	dis3 si1 plin0 nee0 bql2 nees1
DISCIPLINARIAN	dis3 si1 plin0 nxx0 riian2
DISCIPLINARIANISM	dis3 si1 plin0 nxx0 riian0 nis3 svm2
DISCIPLINARIANS	dis3 si1 plin0 nxx0 riian2
DISCIPLINARILY	dis3 si1 plin0 nxx0 rql2 lii2
DISCIPLINARY	dis3 si1 plin0 nxx0 rii2
DISCIPLINATIVE	dis3 si1 plin0 nee0 thiif1
DISCIPLINATORY	dis3 si1 plin0 nxx0 th@@0 rii2
DISCIPLINE	dis3 si1 plin2
DISCIPLINED	dis3 si1 plin0 nit1
DISCIPLINER	dis3 si1 plin0 nqq2
DISCIPLINERS	dis3 si1 plin0 nees1
DISCIPLINES	dis3 si1 plin2
DISCIPLING	dis3 si1 pling2
DISCIPLINING	dis3 si1 plin0 ning2
DISCIS	dis3 ses1
DISCLAIM	dis3 khleem0
DISCLAIMANT	dis3 khleem0 men3
DISCLAIMANTS	dis3 khleem0 men3
DISCLAIMED	dis3 khleem0 mit1
DISCLAIMER	dis3 khleem0 mqq2
DISCLAIMERS	dis3 khleem0 mqs2
DISCLAIMING	dis3 khleem0 ming2
DISCLAIMS	dis3 khleem0
DISCLAND	dis3 khlxxn0
DISCLASS	dis3 khlxs3
DISCLASSIFY	dis3 khlxs3 si1 faaj0
DISCLOSE	dis3 khloos3
DISCLOSED	dis3 khloos3 sit1
DISCLOSER	dis3 khloos3 sqq2
DISCLOSES	dis3 khloos3 ses1
DISCLOSING	dis3 khloos3 sing2
DISCLOSURE	dis3 khloos3 chqq2
DISCLOSURES	dis3 khloos3 chqq2
DISCO	dis3 koo2
DISCOBLASTIC	dis3 koo0 blaas3 tik1
DISCOBOLI	dis3 koo0 bqq0 lii2
DISCOBOLUS	dis3 koo0 bqq0 lqs2
DISCOD	dis3 khoot1
DISCODS	dis3 khoot1
DISCOED	dis3 khoot1
DISCOING	dis3 khoo0 ing2
DISCOLOR	dis3 khal0 lqq2
DISCOLORATION	dis3 khal0 loo0 ree0 chan0
DISCOLORATIONS	dis3 khal0 loo0 ree0 chan0
DISCOLORED	dis3 khal0 loo0 rit1
DISCOLORING	dis3 khal0 loo0 ring2
DISCOLORINGS	dis3 khal0 loo0 ring2
DISCOLORIZATION	dis3 khal0 loo0 raj3 see0 chan0
DISCOLORS	dis3 khal0 lqq2
DISCOLOUR	dis3 khal0 lqq2
DISCOLOURATION	dis3 khql0 loo0 ree0 chan0
DISCOLOURATIONS	dis3 khql0 loo0 ree0 chan0
DISCOLOURED	dis3 khal0 lqt2
DISCOLOUREDS	dis3 khal0 lqt2
DISCOLOURING	dis3 khal0 loo0 ring2
DISCOLOURINGS	dis3 khal0 loo0 ring2
DISCOLOURISATION	dis3 khal0 loo0 raj3 see0 chan0
DISCOLOURISATIONS	dis3 khal0 loo0 raj3 see0 chan0
DISCOLOURIZATION	dis3 khal0 loo0 raj3 see0 chan0
DISCOLOURS	dis3 khal0 lqs2
DISCOMFIT	dis3 kam0 fit3
DISCOMFITED	dis3 kam0 fit3 thet1
DISCOMFITER	dis3 kam0 fit3 thqq2
DISCOMFITING	dis3 kam0 fit3 ting2
DISCOMFITINGLY	dis3 kam0 fit3 ting2 lii2
DISCOMFITS	dis3 kam0 fit3
DISCOMFITURE	dis3 kam0 fi3 chqq2
DISCOMFITURES	dis3 kam0 fi3 chqq2
DISCOMFORT	dis3 kam0 fqqt1
DISCOMFORTABLE	dis3 kam0 fql0 thqq0 bql2
DISCOMFORTABLENESS	dis3 kam0 fql0 thi1 bql2 nees1
DISCOMFORTABLY	dis3 kam0 fql0 thqq0 blii2
DISCOMFORTED	dis3 kam0 fql0 thet1
DISCOMFORTING	dis3 kam0 fql0 ting2
DISCOMFORTINGLY	dis3 kam0 fql0 ting2 lii2
DISCOMFORTS	dis3 kam0 fqqt1
DISCOMMEND	dis3 kh@m0 meen3
DISCOMMENDABLE	dis3 kh@m0 men0 di1 bql2
DISCOMMENDABLENESS	dis3 kh@m0 men0 di1 bql2 nees1
DISCOMMENDABLY	dis3 kh@m0 men0 dql0 blii2
